Number,Author,Title,Date,Publication,Summary,Responsible NetID,Checked by NetID,Footnote
1,Alexander Hamilton,General Introduction,N/A ,Independent Journal,Proposing the federalist papers to address opposition to new constitution,dzy4,,1
2,John Jay,Concerning Dangers from Foreign Force and Influence,N/A,Independent Journal,,az283,hcm58,0
3,John Jay,The Same Subject Continued: Concerning Dangers From Foreign Force and Influence,N/A,Independent Journal,Addresses the utility of the Union in protecting Americans against foreign aggression and meddling,hcm58,,0
4,John Jay,The Same Subject Continued: Concerning Dangers From Foreign Force and Influence,N/A,Independent Journal,Argues that having one national government is more advantageous than having separate state governments from a military perspective,jw975,,0
5,John Jay,The Same Subject Continued: Concerning Dangers from Foreign Force and Influence,N/A,Independent Journal,"The nation should remain united as a fractured nation of many states would repeat the mistakes of Great Britain. Equality of states is impossible and would result in envy and distrust, and states may forge alliances with foreign nations independently of others. A single nation is crucial for success.",evf23,,0
6,Alexander Hamilton,Concerning Dangers from Dissensions Between the States,N/A,Independent Journal,"Description of potential dangers that can arise due to political dissention within a country with historic, foreign examples",ejc254,,1
7,Alexander Hamilton,The Same Subject Continued: Concerning Dangers from Dissensions Between the States,N/A,Independent Journal,Addresses the dangers of dissension among states if there is no strong federal government; suggests the likelihood of war over peace if the unity of states is dissolved.,mac487,,1
8,Alexander Hamilton,The Consequences of Hostilities Between the States,"Tuesday, November 20, 1787",New York Packet,"If individual states are not united under the Union, it will inevitably lead to war between the states, putting smaller states at the most risk. This would lead to standing armies and the rise of monarchies in order to lead these armies and protect citizens of each state, while simultaneously infringing on individual liberties. If the states unite as one country, internal wars can be avoided and liberty can be preserved.",mad298,,1
9,Alexander Hamilton,The Union as a Safeguard Against Domestic Faction and Insurrection,N/A,Independent Journal,"The goal of the Union is to prevent domestic factions (dissenting groups) and insurrection (uprising against the government). There will be distribution of power, legislative checks and balances, courts of judges,and representation of the people in elections in order to maintain an excellent republican government. Hamilton quotes Montesquieu's philosophies in support of pointing out a union's tendency to repress domestic faction and insurrection.",srm276,,1
10,James Madison,The Same Subject Continued: The Union as a Safeguard Against Domestic Faction and Insurrection,"November 23, 1787",New York Packet,This federalist paper defends the structure of the republican government suggested by the constitution. He asserts that having many factions will avoid tyranny and that the large size of the nation will result in difficulty for a single faction to take control.,jb2338,,0
11,Alexander Hamilton,The Utility of the Union in Respect to Commercial Relations and a Navy,N/A,Independent Journal,"The establishment of a federal navy will protect the commercial and naval interests of the new fledging United States, and these commercial relations are the lifeline of the new economy",dc784,,1
12,Alexander Hamilton,The Utility of the Union In Respect to Revenue,"Tuesday, November 27, 1787.",New York Packet,"The prosperity of commerce is now perceived and acknowledged by all enlightened statesmen to be the most useful as well as the most productive source of national wealth, and has accordingly become a primary object of their political cares.",xm53,yz689,1
13,Alexander Hamilton,Advantage of the Union in Respect to Economy in Government,N/A,Independent Journal,,yz689,zw282,0
14,James Madison,Objections to the Proposed Constitution From Extent of Territory Answered,"Friday, November 30, 1787.",New York Packet,,zw282,,0
