Creator NetID,Checker NetID,Filename,Title,Author,Year,Genre,Form,Country of Origin,Length (words),Original Language,"Point of View (1, 3, drama, play, uncertain)","Gender 
(M = 0, F = 1)",Horror?
sy367,ms2628,austen_sense_and_sensibility_pg21839.txt,Sense and Sensibility,"Austen, Jane",1811,Romance,Novel,United Kingdom,119394,English,1,1,FALSE
wpt25,kl782,austen_pride_and_prejudice_pg1342.txt,Pride and Prejudice,"Austen, Jane",1813,Fiction; Love Story; Romance,Novel,United Kingdom,,English,3,1,FALSE
kmw259,bc596,austen_emma_pg158.txt,Emma,"Austen, Jane",1815,Romance,Novel,United Kingdom,160993,English,3,1,FALSE
dm655,,austen_persuasion_pg105.txt,Persuasion,"Austen, Jane",1818,Romance,Novel,United Kingdom,83278,English,3,1,FALSE
hcm58,,baring_gould_the_book_of_werewolves_pg5324.txt,The Book of Were-Wolves,"Baring-Gould, Sabine",1865,Horror,Novel,England,57407,English,,0,TRUE
xz494,kmw259,barrie_peter_pan_pg16.txt,Peter Pan,"Barrie, J.M.",1953,Fantasy Fiction,Novel,United Kingdom,47402,English,3,0,FALSE
kjf63,,baum_the_lost_princess_of_oz_pg959.txt,The Lost Princess,"Baum, Lyman Frank",1997,Fantasy,Novel,United States,59500,English,3,0,FALSE
im324,wh375,baum_the_wonderful_wizard_of_oz_pg55.txt,The Wonderful Wizard of Oz,"Baum, Lyman Frank",1900,Fantasy,Novel,United States,39463,English,3,0,FALSE
akn35,jhc287,baum_glinda_of_oz_pg961.txt,Glinda of Oz,"Baum, Lyman Frank",1920,Children's Literature; Fantasy,Novel,United States,39378,English,3,0,FALSE
hd292,emw246,beckford_vathek_an_arabian_tale_pg42401.txt,Vathek,"Beckford, William",1849,Gothic; Horror,Novel,United Kingdom,35950,English,3,0,TRUE
jl2578,bg368,bierce_an_occurrence_at_owl_creek_bridge_pg3746.txt,An Occurrence at Owl Creek Bridge,"Bierce, Ambrose",1890,Horror,Short Story,United States,3746,English,,0,TRUE
jet253,,bierce_the_damned_thing_pg23172.txt,The Damned Thing,"Bierce, Ambrose",1898,Horror,Novel,United States,3281,English,uncertain,0,TRUE
bf266,,bierce_the_parenticide_club.txt,The Parenticide Club,"Bierce, Ambrose",1911,Horror,Short Story,United States,7573,English,1,0,TRUE
bf266,,bierce_present_at_a_hanging_and_other_ghost_stories.txt,Present at a Hanging and Other Ghost Stories,"Bierce, Ambrose",1913,Horror,Short Story Collection,United States,17360,English,3,0,TRUE
mi252,pd353,edith_the_tale_of_terror_pg14154.txt,The Tale of Terror,"Birkhead, Edith",1921,Horror,Novel,United States,66072,English,3,1,TRUE
mad298,srm276,blackwood_the_willows_pg11438.txt,The Willows,"Blackwood, Algernon",1907,Horror,Novella,United Kingdom,19556,English,1,0,TRUE
jvw26,gar224,blackwood_four_weird_tales_pg16726.txt,Four Weird Tales,"Blackwood, Algernon",1907,Horror; Supernatural,Novel,United Kingdom,,English,3,0,TRUE
rk493,emw248,blackwood_the_damned_pg11074.txt,The Damned,"Blackwood, Algernon",1914,Horror; Mystery,Novella,United Kingdom,31409,English,1,0,TRUE
szk4,sza7,day_and_night_storiespg45964.txt,Day and Night Stories,"Blackwood, Algernon",1917,Horror,Novel,United States,76050,English,3,0,TRUE
lam364,kjf63,blackwood_the_wendigo_pg10897.txt,The Wendigo,"Blackwood, Algernon ",1910,Horror,Novella,United Kingdom,,English,3,0,TRUE
bg368,zw282,blanchard_a_sweet_little_maid_pg19025.txt,A Sweet Little Maid,"Blanchard, Amy Ella",1899,Juvenile Fiction,Novel,United States,37531,English,3,1,FALSE
az283,hcm58,bronte_jane_eyre_pg1260.txt,Jane Eyre: An Autobiography,"Brontë, Charlotte",1847,Fiction,Novel,United Kingdom,185826,English,1,1,FALSE
cdc222,spa42,bronte_wuthering_heights_pg768.txt,Wuthering Heights,"Brontë, Emily",1847,Gothic; Horror,Novel,United Kingdom,118899,English,3,1,TRUE
bc596,xz494,bulfinch_bulfinchs_mythology_pg4928.txt,,"Bulfinch, Thomas",1855,Romance,Novel ,United States,327459,English,3,0,FALSE
wpt25,kl782,butler_the_odyssey_pg1727.txt,The Odyssey,"Butler, Samuel",1897,Epic; Poetry,Epic,United Kingdom,,Greek,3,0,FALSE
lm638,rk493,carroll_alices_adventures_in_wonderland.txt,Alice's Adventures in Wonderland,"Carroll, Lewis",1865,Fantasy Fiction; Children's Stories,Novel,United Kingdom,26403,English,3,0,FALSE
ys778,ye35,chambers_the_king_in_yellow_pg8492.txt,The King in Yellow,"Chambers, Robert ",1895,Horror,Play,United States,71757,English,3,0,TRUE
hc667,kjf63,christie_the_secret_adversary_pg1155.txt,The Secret Adversary,"Christie, Agatha",1922,Mystery; Detective,Novel,United Kingdom,65016,English,3,1,FALSE
hc667,jl2578,christie_the_murder_on_the_links_pg58866.txt,The Murder on the Links,"Christie, Agatha",1923,Mystery; Detective,Novel,United Kingdom,64170,English,1,1,FALSE
yz689,bg368,collins_the_moonstone_pg155.txt,The Moonstone,"Collins, Wilkie",1868,Mystery; Fiction,Novel,United Kingdom,194768,English,1,0,FALSE
kmw259,bc596,conrad_heart_of_darkness_pg219.txt,Heart of Darkness,"Conrad, Joseph",1899,Romance,Novella,United Kingdom,40020,English,1,0,FALSE
lgl44,pse23,la_grande_breteche.txt,La Grande Breteche,"de Balzac, Honoré",1831,Horror,Short Story,France,8065,French,3,0,TRUE
emw248,gar224,dickens_oliver_twist_pg730.txt,Oliver Twist,"Dickens, Charles",1838,Social,Novel,United Kingdom,155675,English,3,0,FALSE
emw248,ys778,dickens_a_christmas_carol_pg19337.txt,A Christmas Carol,"Dickens, Charles",1843,"Horror
",Novel,United Kingdom,28610,English,3,0,TRUE
kjf63,,dickens_a_tale_of_two_cities_p98.txt,A Tale of Two Cities,"Dickens, Charles",1859,Historial Fiction,Novel,United Kingdom,144710,English,3,0,FALSE
ahy7,lam364,dickens_great_expectations_pg1400.txt,Great Expectations,"Dickens, Charles",1861,Fiction,Novel,United Kingdom,183349,English,1,0,FALSE
pd353,az258,dickens_a_christmas_carol_pg24022.txt,A Christmas Carol,"Dickens, Charles",1915,Fairy Tale; Victorian Literature,Novel,United Kingdom,28528,English,3,0,FALSE
ys778,,dickens_our_mutual_friend_pg883.txt,Our Mutual Friend,"Dickens, Charles",1864,Comedy,Novel,United Kingdom,346209,English,3,0,FALSE
js2595,,dostoevsky_crime_and_punishment_pg2554.txt,Crime and Punishment,"Dostoevsky, Fyodor",1866,,Novel,Russia,211591,Russian,3,0,FALSE
kl824,ahy7,doyle_a_study_in_scarlet_pg244.txt,A Study in Scarlet,"Doyle, Arthur Conan",1887,Fiction,Novel,United Kingdom,43749,English,1,0,FALSE
kl824,xm53,doyle_the_adventure_of_sherlock_holmes_pg1661.txt,The Adventure Of Sherlock Holmes,"Doyle, Arthur Conan",1892,Fiction,Novel,United Kingdom,107412,English,1,0,FALSE
pse23,lgl44,the_parasite_pg355.txt,The Parasite,"Doyle, Arthur Conan",1894,Horror,Novel,United Kingdom,17822,English,1,0,TRUE
sah346,mck85,doyle_hound_of_the_baskervilles_pg2852.txt,The Hound of The Baskervilles,"Doyle, Arthur Conan",1902,Mystery,Novel,United Kingdom,118282,English,3,0,FALSE
szk4,sza7,round_the_fire_stories.txt,Round the Fire Stories,"Doyle, Arthur Conan",1908,Horror,Short Story,United Kingdom,107098,English,1,0,TRUE
dc784,jb2338,doyle_tales_of_terror_and_mystery_pg537.txt,Tales of Terror and Mystery,"Doyle, Arthur Conan",1922,Horror; Mystery,Short Story Collection,United Kingdom,75040,English,1,0,TRUE
bc596,xz494,dumas_the_man_in_the_iron_mask_pg496.txt,The Man in the Iron Mask,"Dumas, Alexandre",1669,Romance,Novel,United States,174089,English,3,0,FALSE
ag2228,ds869,dumas_the_three_musketeers_pg1257.txt,The Three Musketeers,"Dumas, Alexandre",1844,Historical Fiction; Adventure,Novel,France,197163,French,3,0,FALSE
mas764,sm2344,dumas_the_count_of_monte_cristo_pg1184.txt,The Count of Monte Cristo,"Dumas, Alexandre",1844,Adventure,Novel,France,375695,French,3,0,FALSE
dm655,,dunsany_book_of_wonder_pg7477.txt,The Book of Wonder,"Dunsany, Lord",1912,Horror,Short Story Collection,Ireland,22759,English,3,0,TRUE
nkm39,,falkner_the_lost_stradivarius_pg14107.txt,The Lost Stradivarius,"Falkner, John Meade",1895,Horror,Novel,England,49679,English,1,0,TRUE
cc972,hl973,fang_the_used_people_lot_pg60545.txt,The Used People Lot,"Fang, Irving",1958,Science Fiction,Short Story,United States,2110,English,1,0,FALSE
cc972,hl973,farjeon_the_house_of_the_white_shadows_pg42973.txt,The House of the White Shadows,"Farjeon, B. L.",1884,Fiction,Novel,United Kingdom,130960,English,3,0,FALSE
wh375,im324,fitzgerald_this_side_of_paradise_pg805.txt,This Side of Paradise,"Fitzgerald, Francis Scott",1920,Fiction,Novel,United States,123526,English,,0,FALSE
wh375,im324,fitzgerald_the_beautiful_and_the_damned_pg9830.txt,The Beautiful and the Damned,"Fitzgerald, Francis Scott",1922,Fiction,Novel,United States,80549,English,,0,FALSE
sk2347,,fletcher_the_markenmore_mystery_pg59818.txt,The Markenmore Mystery,Fletcher Joseph,1922,Mystery; Detective,Novel,United States,77974,English,,0,FALSE
zw282,kl824,Fletcher_the_middle_of_things_pg9902.txt,The Middle of Things,"Fletcher, J. S.",1900,Fiction,Novel,United States,74333,English,,0,FALSE
hn248,,elizabeth_the_poor_clare.txt,The Poor Clare,"Gaskell, Elizabeth",1856,Gothic; Horror,Short Story,United Kingdom,,English,1,1,TRUE
az283,,clarimonde.txt,Clarimonde,"Gautier, Théophile",1836,Horror; Fiction,Novel,France,,French,1,0,TRUE
