Filename	Title	Year
10201.txt	The Desert of Wheat	1919
1027-0.txt	The Lone Star Ranger	1915
1095-0.txt	The Light of the Western Stars	1914
12225.txt	Tales of Lonely Trails	1922
1239.txt	The Spirit of the Border	1906
1261.txt	Betty Zane	1903
1262-0.txt	The Heritage of the Desert	1910
1300.txt	Riders of the Purple Sage	1912
13937.txt	The Mysterious Rider	1921
15580.txt	The Rustlers of Pecos County	1914
15673.txt	The Day of the Beast	1922
1881.txt	The Call of the Canyon	1924
1882.txt	The Young Forester	1910
19246.txt	The Young Pitcher	1911
2057.txt	The Last of the Plainsmen	1908
2066.txt	Wildfire	1917
2070.txt	To the Last Man	1921
29346.txt	Tales of Fishes	1919
3457.txt	The Man of the Forest	1920
385.txt	The Redheaded Outfielder	1920
4552.txt	The Border Legion	1916
45974.txt	Ken Ward in the Jungle	1912
4684.txt	The U. P. Trail	1918
502.txt	Desert Gold	1913
5067.txt	The Rainbow Trail	1915
59548.txt	Tappan's Burro	1923
60102.txt	The Wanderer of the Wasteland	1923
9932.txt	The Last Trail	1909
